,FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
4325,201809,14,36074,784961,I,61,,Permanent Home,1845,14,1845,131188,SOUTH CAROLINA,2018,September,Hurricane,Z,58,CENTRAL HORRY,ILM,EST-5,0,0,0,2,0,0,Broadcast Media
4326,201809,14,36075,784961,I,63,,Permanent Home,1845,14,1845,131188,SOUTH CAROLINA,2018,September,Hurricane,Z,58,CENTRAL HORRY,ILM,EST-5,0,0,0,2,0,0,Broadcast Media
4327,201809,16,36124,784963,D,81,M,Vehicle/Towed Trailer,1539,16,2000,131188,SOUTH CAROLINA,2018,September,Flash Flood,C,51,HORRY,ILM,EST-5,0,0,1,0,10000,0,Department of Highways
4328,201809,16,36123,784975,D,23,M,Vehicle/Towed Trailer,200,16,200,131188,SOUTH CAROLINA,2018,September,Flash Flood,C,43,GEORGETOWN,ILM,EST-5,0,0,1,0,20000,0,Emergency Manager
4329,201809,15,36122,786489,D,83,,Vehicle/Towed Trailer,1259,15,1700,130719,NORTH CAROLINA,2018,September,Flash Flood,C,155,ROBESON,ILM,EST-5,0,0,1,0,20000,0,Department of Highways
4330,201809,15,36121,786498,D,51,F,Vehicle/Towed Trailer,1701,15,2100,130719,NORTH CAROLINA,2018,September,Flash Flood,C,155,ROBESON,ILM,EST-5,0,0,1,0,10000,0,Broadcast Media
4331,201809,15,36120,786794,D,71,M,Vehicle/Towed Trailer,312,15,2045,130719,NORTH CAROLINA,2018,September,Flash Flood,C,141,PENDER,ILM,EST-5,0,0,1,0,5000000,0,County Official
4332,201809,25,36127,786993,I,85,M,Outside/Open Areas,1200,25,1200,131561,NORTH CAROLINA,2018,September,Hurricane,Z,108,COASTAL NEW HANOVER,ILM,EST-5,0,0,0,1,0,0,Emergency Manager
4333,201907,24,39451,848403,I,9,M,In Water,1700,24,2000,141222,CALIFORNIA,2019,July,Cold/Wind Chill,Z,68,MT SHASTA/WESTERN PLUMAS COUNTY,STO,PST-8,0,0,0,1,0,0,Newspaper
4334,201907,13,39453,848346,I,34,M,In Water,1600,13,1640,141208,CALIFORNIA,2019,July,Cold/Wind Chill,Z,16,CENTRAL SACRAMENTO VALLEY,STO,PST-8,0,0,0,1,0,0,Newspaper
