FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
201312,21,21409,488899,I,47,Missing,Vehicle/Towed Trailer,440,21,440,81449,TEXAS,2013,December,Heavy Rain,C,113,DALLAS,FWD,12/21/2013 4:40,CST-6,12/21/2013 4:40,0,0,0,1,13000,0,Broadcast Media
201312,21,21410,488900,I,43,M,Vehicle/Towed Trailer,318,21,318,81449,TEXAS,2013,December,Heavy Rain,C,113,DALLAS,FWD,12/21/2013 3:18,CST-6,12/21/2013 3:18,0,1,0,1,13000,0,Broadcast Media
201312,6,21421,488901,I,53,M,Outside/Open Areas,558,6,558,80851,TEXAS,2013,December,Winter Weather,Z,158,BELL,FWD,12/6/2013 5:58,CST-6,12/6/2013 5:58,0,1,0,1,10000,0,Broadcast Media
201312,12,21447,489228,I,34,M,Vehicle/Towed Trailer,650,12,650,81515,TEXAS,2013,December,Winter Weather,Z,93,GRAYSON,FWD,12/12/2013 6:50,CST-6,12/12/2013 6:50,0,0,0,1,30000,0,Broadcast Media
201312,8,21432,489761,I,47,M,Vehicle/Towed Trailer,900,9,600,81611,WISCONSIN,2013,December,Winter Weather,Z,71,RACINE,MKX,12/8/2013 9:00,CST-6,12/9/2013 6:00,0,0,0,1,0,0,Trained Spotter
201312,8,21433,489770,I,47,Missing,Vehicle/Towed Trailer,1000,9,600,81611,WISCONSIN,2013,December,Winter Weather,Z,65,WAUKESHA,MKX,12/8/2013 10:00,CST-6,12/9/2013 6:00,0,0,0,1,0,0,Trained Spotter
201312,8,21434,489779,I,39,F,Vehicle/Towed Trailer,900,9,600,81611,WISCONSIN,2013,December,Winter Weather,Z,66,MILWAUKEE,MKX,12/8/2013 9:00,CST-6,12/9/2013 6:00,0,0,0,1,0,0,Trained Spotter
201312,1,21436,490068,D,72,F,Outside/Open Areas,0,1,1000,81678,ILLINOIS,2013,December,Cold/Wind Chill,Z,38,MCLEAN,ILX,12/1/2013 0:00,CST-6,12/1/2013 10:00,0,0,1,0,0,0,Newspaper
201312,26,21438,490128,D,39,M,Outside/Open Areas,1400,26,1445,81688,IDAHO,2013,December,Avalanche,Z,23,CARIBOU HIGHLANDS,PIH,12/26/2013 14:00,MST-7,12/26/2013 14:45,0,0,1,0,0,0,Newspaper
201308,15,21443,490147,D,56,F,Outside/Open Areas,1400,15,1400,81691,UTAH,2013,August,Heat,Z,13,SAN RAFAEL SWELL,SLC,8/15/2013 14:00,MST-7,8/15/2013 14:00,0,0,1,0,0,0,Newspaper
201312,8,21467,490689,I,35,M,Unknown,1230,9,730,80042,PENNSYLVANIA,2013,December,Winter Weather,Z,60,BERKS,PHI,12/8/2013 12:30,EST-5,12/9/2013 7:30,0,1,0,1,0,0,ASOS
201312,8,21468,490982,I,52,M,Unknown,1600,9,800,80041,NEW JERSEY,2013,December,Winter Weather,Z,9,HUNTERDON,PHI,12/8/2013 16:00,EST-5,12/9/2013 8:00,0,0,0,2,0,0,ASOS
201312,8,21469,490982,I,43,F,Unknown,1600,9,800,80041,NEW JERSEY,2013,December,Winter Weather,Z,9,HUNTERDON,PHI,12/8/2013 16:00,EST-5,12/9/2013 8:00,0,0,0,2,0,0,ASOS
201312,8,21496,491313,I,30,M,Vehicle/Towed Trailer,2100,8,900,81751,TENNESSEE,2013,December,Winter Weather,Z,27,DAVIDSON,OHX,12/7/2013 21:00,CST-6,12/8/2013 9:00,0,0,0,1,10000,0,Emergency Manager
201307,20,21497,491396,D,90,F,Permanent Home,1600,20,1600,75836,RHODE ISLAND,2013,July,Heat,Z,2,SOUTHEAST PROVIDENCE,BOX,7/20/2013 16:00,EST-5,7/20/2013 16:00,0,0,1,0,0,0,Broadcast Media
